Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10005748;VIVANTE, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );36,78;0;1943,57;
10006038;TIPPAUTO, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );15207,06;6751,38;105996,83;6
10006050;ESTLA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );1295,94;1354,98;11882;5
10006067;FEE CATERING OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );39352,63;25147,59;204540,86;13
10006073;RADNES, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );4599,76;3445,88;45761,3;3
10006096;HERMELIIN, AS;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );8693,15;3109,72;24032,8;2
10006216;VILANDERT, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );10372,52;5240,46;56694,11;4
10006222;STOPP, OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );18065,65;6660,63;23822,54;2
10006239;J. ERTMANN, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Tartu ( Kambja vald );2327,91;700;0;
10006268;VIIMARS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Viimsi vald );3101;661,74;17700;2
10006274;MATI JA MARE KAARE, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );360,93;0;2169,12;
